"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://knightlogics.com/","https://knightlogics.com/","190077","","View Case Studies","200","OK","true","","","Path-Relative","//body/section[@id='hero']/div[@class='hero-content-wrapper']/div[@class='hero-layout']/div/div[@class='hero-cta-buttons']/a[2]","Content","HTML"
"Hyperlink","https://knightlogics.com/","https://knightlogics.com/","190077","","Review The Proof","200","OK","true","","","Path-Relative","//body/section[@class='services'][2]/div/div[@class='services-cta']/div/a[2]","Content","HTML"
"Hyperlink","https://knightlogics.com/case-study-screen-team","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='cs-hero']/div/div/nav/a[1]","Navigation","HTML"
"Hyperlink","https://knightlogics.com/pixelforge-ai","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='pixelforge-hero']/div/div[1]/nav/a[1]","Navigation","HTML"
"Hyperlink","https://knightlogics.com/pixelforge-ai","https://knightlogics.com/","190077","","Request A Custom Build","200","OK","true","","","Root-Relative","//body/section[@class='back-to-portfolio']/div/div/div/a[@class='btn-primary']","Content","HTML"
"Hyperlink","https://knightlogics.com/service-desktop-apps","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='svc-hero']/div/div/nav/a","Navigation","HTML"
"Hyperlink","https://knightlogics.com/service-desktop-apps","https://knightlogics.com/","190077","","All Services","200","OK","true","","","Root-Relative","//body/section[@class='svc-cta-section']/div/div/div/a[@class='btn-secondary']","Content","HTML"
"Hyperlink","https://knightlogics.com/case-study-jns","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='cs-hero']/div/div/nav/a[1]","Navigation","HTML"
"Hyperlink","https://knightlogics.com/case-study-knight-group","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='cs-hero']/div/div/nav/a[1]","Navigation","HTML"
"Hyperlink","https://knightlogics.com/service-websites","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='svc-hero']/div/div/nav/a","Navigation","HTML"
"Hyperlink","https://knightlogics.com/service-websites","https://knightlogics.com/","190077","","All Services","200","OK","true","","","Root-Relative","//body/section[@class='svc-cta-section']/div/div/div/a[@class='btn-secondary']","Content","HTML"
"Hyperlink","https://knightlogics.com/book-consultation","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[1]/div/nav/a","Navigation","HTML"
"Hyperlink","https://knightlogics.com/videoforge","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='videoforge-hero']/div/div[1]/nav/a[1]","Navigation","HTML"
"Hyperlink","https://knightlogics.com/videoforge","https://knightlogics.com/","190077","","Discuss Your Project","200","OK","true","","","Root-Relative","//body/section[@class='back-to-portfolio']/div/div/a[@class='btn-primary']","Content","HTML"
"Hyperlink","https://knightlogics.com/service-ai-automation","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='svc-hero']/div/div/nav/a","Navigation","HTML"
"Hyperlink","https://knightlogics.com/contact","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='contact-page-hero']/div/nav/a","Navigation","HTML"
"Hyperlink","https://knightlogics.com/case-study-moms-resin-tables","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='cs-hero']/div/div/nav/a[1]","Navigation","HTML"
"Hyperlink","https://knightlogics.com/display-control-plus","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='displayplus-hero']/div/div/div[1]/nav/a[1]","Navigation","HTML"
"Hyperlink","https://knightlogics.com/display-control-plus","https://knightlogics.com/","190077","","Discuss Your Project","200","OK","true","","","Root-Relative","//body/section[@class='back-to-portfolio']/div/div/a[@class='btn-primary']","Content","HTML"
"Hyperlink","https://knightlogics.com/service-ecommerce","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='svc-hero']/div/div/nav/a","Navigation","HTML"
"Hyperlink","https://knightlogics.com/auto-vid-compiler","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='displayplus-hero']/div/div/div[1]/nav/a[1]","Navigation","HTML"
"Hyperlink","https://knightlogics.com/auto-vid-compiler","https://knightlogics.com/","190077","","Discuss Your Project","200","OK","true","","","Root-Relative","//body/section[@class='back-to-portfolio']/div/div/a[@class='btn-primary']","Content","HTML"
"Hyperlink","https://knightlogics.com/case-study-sals-painting","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='cs-hero']/div/div/nav/a[1]","Navigation","HTML"
"Hyperlink","https://knightlogics.com/case-study-farrell-electric","https://knightlogics.com/","190077","","Home","200","OK","true","","","Root-Relative","//body/section[@class='cs-hero']/div/div/nav/a[1]","Navigation","HTML"
"HTML Canonical","https://knightlogics.com/","https://knightlogics.com/","190077","","","200","OK","true","","","Absolute","//head/link[1]","Head","HTML"
"HTML Canonical","https://knightlogics.com/?openPackage=ecommerce-growth-store","https://knightlogics.com/","190077","","","200","OK","true","","","Absolute","//head/link[1]","Head","HTML"
"HTML Canonical","https://knightlogics.com/?openPackage=website-local-launch-plus","https://knightlogics.com/","190077","","","200","OK","true","","","Absolute","//head/link[1]","Head","HTML"
"HTML Canonical","https://knightlogics.com/?openPackage=monthly-visibility-pro","https://knightlogics.com/","190077","","","200","OK","true","","","Absolute","//head/link[1]","Head","HTML"
"HTML Canonical","https://knightlogics.com/?openPackage=monthly-growth-management","https://knightlogics.com/","190077","","","200","OK","true","","","Absolute","//head/link[1]","Head","HTML"
"HTML Canonical","https://knightlogics.com/?openPackage=ops-growth-system-starter","https://knightlogics.com/","190077","","","200","OK","true","","","Absolute","//head/link[1]","Head","HTML"
