"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://knightlogics.com/pricing","https://knightlogics.com/?openPackage=ecommerce-growth-store","190077","","Scale your store","200","OK","true","","","Root-Relative","//body/section[@id='ecommerce']/div/div[@class='pricing-card-row']/div[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ecommerce-growth-store","https://knightlogics.com/?openPackage=ecommerce-growth-store","190077","","View Case Studies","200","OK","true","","","Path-Relative","//body/section[@id='hero']/div[@class='hero-content-wrapper']/div[@class='hero-layout']/div/div[@class='hero-cta-buttons']/a[2]","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ecommerce-growth-store","https://knightlogics.com/?openPackage=ecommerce-growth-store","190077","","Review The Proof","200","OK","true","","","Path-Relative","//body/section[@class='services'][2]/div/div[@class='services-cta']/div/a[2]","Content","HTML"
"Hyperlink","https://knightlogics.com/pricing","https://knightlogics.com/?openPackage=website-local-launch-plus","190077","","Scope your build","200","OK","true","","","Root-Relative","//body/section[@id='websites']/div[@class='container']/div[3]/div[3]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=website-local-launch-plus","https://knightlogics.com/?openPackage=website-local-launch-plus","190077","","View Case Studies","200","OK","true","","","Path-Relative","//body/section[@id='hero']/div[@class='hero-content-wrapper']/div[@class='hero-layout']/div/div[@class='hero-cta-buttons']/a[2]","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=website-local-launch-plus","https://knightlogics.com/?openPackage=website-local-launch-plus","190077","","Review The Proof","200","OK","true","","","Path-Relative","//body/section[@class='services'][2]/div/div[@class='services-cta']/div/a[2]","Content","HTML"
"Hyperlink","https://knightlogics.com/pricing","https://knightlogics.com/?openPackage=monthly-visibility-pro","190077","","Get pro support","200","OK","true","","","Root-Relative","//body/section[@id='monthly']/div/div[@class='pricing-card-row']/div[3]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=monthly-visibility-pro","https://knightlogics.com/?openPackage=monthly-visibility-pro","190077","","View Case Studies","200","OK","true","","","Path-Relative","//body/section[@id='hero']/div[@class='hero-content-wrapper']/div[@class='hero-layout']/div/div[@class='hero-cta-buttons']/a[2]","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=monthly-visibility-pro","https://knightlogics.com/?openPackage=monthly-visibility-pro","190077","","Review The Proof","200","OK","true","","","Path-Relative","//body/section[@class='services'][2]/div/div[@class='services-cta']/div/a[2]","Content","HTML"
"Hyperlink","https://knightlogics.com/pricing","https://knightlogics.com/?openPackage=monthly-growth-management","190077","","Talk about scope","200","OK","true","","","Root-Relative","//body/section[@id='monthly']/div/div[@class='pricing-card-row']/div[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=monthly-growth-management","https://knightlogics.com/?openPackage=monthly-growth-management","190077","","View Case Studies","200","OK","true","","","Path-Relative","//body/section[@id='hero']/div[@class='hero-content-wrapper']/div[@class='hero-layout']/div/div[@class='hero-cta-buttons']/a[2]","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=monthly-growth-management","https://knightlogics.com/?openPackage=monthly-growth-management","190077","","Review The Proof","200","OK","true","","","Path-Relative","//body/section[@class='services'][2]/div/div[@class='services-cta']/div/a[2]","Content","HTML"
"Hyperlink","https://knightlogics.com/pricing","https://knightlogics.com/?openPackage=ops-growth-system-starter","190077","","Build the system","200","OK","true","","","Root-Relative","//body/section[@id='growth']/div/div[3]/div[1]/a","Content","HTML"
