"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://knightlogics.com/","text/html; charset=utf-8","200","OK","Indexable","","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","custom website design Tampa Bay, local SEO services Tampa, Google Business Profile optimization Tampa, small business web design Florida, website designer Tampa Bay, SEO services Tampa Bay, affordable web design Pinellas County, lead generation website Tampa, business automation Tampa, workflow automation small business, hand-coded website, custom software development Tampa Bay, Knight Logics, Nicholas Knight","412","Knight Logics Custom Websites & Local SEO","41","Talk Through Your Project","25","Tampa Bay Websites Built to Get Found","37","","","","https://knightlogics.com/","","","","","","191576","36700","36700","14.059","","2464","456","5.404","61.060","Normal","9.237","0","0","","25","18","0","94.740","23","17","0","14","14","0","","","","","40584989d696c9456ee5589f2121ed49","0.055","Tue, 12 May 2026 03:56:44 GMT","","","","en","1.1","","","","","","https://knightlogics.com/","2026-05-11 23:56:56"
"https://knightlogics.com/case-study-screen-team","text/html; charset=utf-8","200","OK","Indexable","","Growth System Case Study — Screen Team LLC | Knight Logics","58","563","Case study: ScreenTeamLLC.com — Growth System build by Knight Logics. Tampa Bay screen repair website with CRM, email automation, social systems, and directory foundation.","171","1111","","0","Growth System — Screen Team LLC","31","Service depth + operational automation for Tampa Bay screen repair","66","Complete Growth System — CRM, Email, Social, and Directories","60","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-screen-team","","","","","","36917","8017","8017","3.071","","1174","197","5.959","54.790","Fairly Hard","21.199","1","0","","2","2","0","10.530","4","3","0","3","3","0","","","","","3a22f69f1d64c7a8665022873024cbdb","0.052","Tue, 12 May 2026 03:56:44 GMT","","","","en","1.1","","","","","","https://knightlogics.com/case-study-screen-team","2026-05-11 23:56:57"
"https://knightlogics.com/style.min.css?v=20260428m","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","23265","23265","23265","8.912","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.077","Tue, 12 May 2026 03:56:44 GMT","","","","","1.1","","","","","","https://knightlogics.com/style.min.css?v=20260428m","2026-05-11 23:56:57"
"https://knightlogics.com/images/B-Magic's%20Auto%20Vid%20Compiler.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","131080","131080","131080","50.214","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.091","Tue, 12 May 2026 03:56:44 GMT","","","","","1.1","","","","","","https://knightlogics.com/images/B-Magic's%20Auto%20Vid%20Compiler.webp","2026-05-11 23:56:57"
"https://knightlogics.com/images/videoforge-app-icon.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","50582","50582","50582","19.377","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.092","Tue, 12 May 2026 03:56:44 GMT","","","","","1.1","","","","","","https://knightlogics.com/images/videoforge-app-icon.webp","2026-05-11 23:56:57"
"https://knightlogics.com/images/KnightGroup-HomeImage.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","31534","31534","31534","12.080","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.045","Tue, 12 May 2026 03:56:44 GMT","","","","","1.1","","","","","","https://knightlogics.com/images/KnightGroup-HomeImage.webp","2026-05-11 23:56:57"
"https://knightlogics.com/images/KnightLogics-HomeImage.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","26944","26944","26944","10.322","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.084","Tue, 12 May 2026 03:56:44 GMT","","","","","1.1","","","","","","https://knightlogics.com/images/KnightLogics-HomeImage.webp","2026-05-11 23:56:57"
"https://knightlogics.com/images/upwork-icon.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","321","321","321","0.123","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.072","Tue, 12 May 2026 03:56:44 GMT","","","","","1.1","","","","","","https://knightlogics.com/images/upwork-icon.svg","2026-05-11 23:56:58"
"https://knightlogics.com/case-study-jns","text/html; charset=utf-8","200","OK","Indexable","","Local Launch Plus Case Study — JNSBuilds.com | Knight Logics","60","564","Case study: JNSBuilds.com — Local Launch Plus build by Knight Logics with 11 pages, FAQPage schema, analytics, and full technical SEO foundations.","146","932","","0","Local Launch Plus — JNS Construction","36","Why This Sits in the $2,997+ Range","34","A deeper contractor launch with page depth, trust pages, and search-ready structure","83","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-jns","","","","","","46455","9109","9109","3.489","","941","183","5.142","63.792","Normal","13.226","1","0","","2","2","0","10.530","5","3","0","5","5","0","","","","","9482c410738bd3ff9738d7634b9e0e91","0.077","Tue, 12 May 2026 03:56:44 GMT","","","","en","1.1","","","","","","https://knightlogics.com/case-study-jns","2026-05-11 23:56:58"
"https://knightlogics.com/case-study-knight-group","text/html; charset=utf-8","200","OK","Indexable","","Growth System Case Study — KnightGroup.com | Knight Logics","58","560","Case study: KnightGroup.com — Growth System build by Knight Logics combining a local-service website, booking flow, SEO, and supporting operations workflows.","157","1008","","0","Growth System — Knight Group","28","A local service site tied to a broader growth and operations system","67","The Systems That Make the Website Convert","41","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-knight-group","","","","","","50661","10084","10084","3.863","","1399","241","5.805","55.871","Fairly Hard","18.342","1","0","","2","2","0","10.530","5","3","0","5","5","0","","","","","56279b04a07b1e985834d9afd2c005d4","0.076","Tue, 12 May 2026 03:56:43 GMT","","","","en","1.1","","","","","","https://knightlogics.com/case-study-knight-group","2026-05-11 23:56:58"
