"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"http://localhost:4178/","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/service-ecommerce","1","Non-Indexable","Canonicalised","https://knightlogics.com/service-ecommerce","","","","","","",""
"http://localhost:4178/videoforge","1","Non-Indexable","Canonicalised","https://knightlogics.com/videoforge","","","","","","",""
"http://localhost:4178/case-study-screen-team","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-screen-team","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"http://localhost:4178/service-websites","1","Non-Indexable","Canonicalised","https://knightlogics.com/service-websites","","","","","","",""
"http://localhost:4178/case-study-moms-resin-tables","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-moms-resin-tables","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"http://localhost:4178/display-control-plus","1","Non-Indexable","Canonicalised","https://knightlogics.com/display-control-plus","","","","","","",""
"http://localhost:4178/case-study-jns","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-jns","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"http://localhost:4178/contact","1","Non-Indexable","Canonicalised","https://knightlogics.com/contact","","","","","","",""
"http://localhost:4178/auto-vid-compiler","1","Non-Indexable","Canonicalised","https://knightlogics.com/auto-vid-compiler","","","","","","",""
"http://localhost:4178/pixelforge-ai","1","Non-Indexable","Canonicalised","https://knightlogics.com/pixelforge-ai","","","","","","",""
"http://localhost:4178/book-consultation","1","Non-Indexable","Canonicalised","https://knightlogics.com/book-consultation","","","","","","",""
"http://localhost:4178/case-study-knight-logics","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-knight-logics","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"http://localhost:4178/service-ai-automation","1","Non-Indexable","Canonicalised","https://knightlogics.com/service-ai-automation","","","","","","",""
"http://localhost:4178/service-desktop-apps","1","Non-Indexable","Canonicalised","https://knightlogics.com/service-desktop-apps","","","","","","",""
"http://localhost:4178/pricing","1","Non-Indexable","Canonicalised","https://knightlogics.com/pricing","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"http://localhost:4178/case-study-knight-group","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-knight-group","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"http://localhost:4178/?openPackage=ecommerce-payment-links","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ops-simple-lead-tracker","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ops-job-records-system","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ecommerce-launch","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ops-custom-automation-system","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ecommerce-preview-catalog","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=website-preview-launch","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=website-local-seo-starter","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=monthly-visibility-standard","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=monthly-local-seo-starter","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=monthly-growth-management","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=website-live-essential","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=monthly-visibility-pro","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ecommerce-growth-store","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=website-search-foundation-plus","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ops-full-growth-system","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=website-local-launch-plus","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ops-growth-system-starter","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=website-live-plus","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ops-automated-job-records","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ecommerce-advanced-system","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=website-search-foundation","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/?openPackage=ops-contractor-crm-starter","1","Non-Indexable","Canonicalised","https://knightlogics.com/","","","","","","",""
"http://localhost:4178/case-study-farrell-electric","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-farrell-electric","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"http://localhost:4178/case-study-sals-painting","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-sals-painting","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
