"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"http://localhost:4178/","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/images/youtube-icon.webp","0","","","","","","Indexable",""
"http://localhost:4178/images/Display-Control-Plus-Logo.webp","0","","","","","","Indexable",""
"http://localhost:4178/images/B-Magic's%20Auto%20Vid%20Compiler.png","0","","","","","","Indexable",""
"http://localhost:4178/images/B-Magic's%20Auto%20Vid%20Compiler.webp","0","","","","","","Indexable",""
"http://localhost:4178/script.min.js?v=20260512a","0","","","","","","Indexable",""
"http://localhost:4178/images/KnightLogics-HomeImage.webp","0","","","","","","Indexable",""
"http://localhost:4178/service-ecommerce","0","","","","https://knightlogics.com/service-ecommerce","","Non-Indexable","Canonicalised"
"http://localhost:4178/videoforge","0","","","","https://knightlogics.com/videoforge","","Non-Indexable","Canonicalised"
"http://localhost:4178/images/videoforge-app-icon.webp","0","","","","","","Indexable",""
"http://localhost:4178/images/ManCavesLogo.webp","0","","","","","","Indexable",""
"http://localhost:4178/case-study-screen-team","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-screen-team","","Non-Indexable","Canonicalised"
"http://localhost:4178/service-websites","0","","","","https://knightlogics.com/service-websites","","Non-Indexable","Canonicalised"
"http://localhost:4178/case-study-moms-resin-tables","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-moms-resin-tables","","Non-Indexable","Canonicalised"
"http://localhost:4178/display-control-plus","0","","","","https://knightlogics.com/display-control-plus","","Non-Indexable","Canonicalised"
"http://localhost:4178/style.min.css?v=20260428m","0","","","","","","Indexable",""
"http://localhost:4178/case-study-jns","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-jns","","Non-Indexable","Canonicalised"
"http://localhost:4178/images/pixelforge_logo.webp","0","","","","","","Indexable",""
"http://localhost:4178/images/Knight%20Group%20Logo.webp","0","","","","","","Indexable",""
"http://localhost:4178/images/GithubIcon.webp","0","","","","","","Indexable",""
"http://localhost:4178/images/aboutimg.webp","0","","","","","","Indexable",""
"http://localhost:4178/contact","0","","","","https://knightlogics.com/contact","","Non-Indexable","Canonicalised"
"http://localhost:4178/images/discord-icon.webp","0","","","","","","Indexable",""
"http://localhost:4178/auto-vid-compiler","0","","","","https://knightlogics.com/auto-vid-compiler","","Non-Indexable","Canonicalised"
"http://localhost:4178/pixelforge-ai","0","","","","https://knightlogics.com/pixelforge-ai","","Non-Indexable","Canonicalised"
"http://localhost:4178/book-consultation","0","","","","https://knightlogics.com/book-consultation","","Non-Indexable","Canonicalised"
"http://localhost:4178/images/upwork-icon.svg","0","","","","","","Indexable",""
"http://localhost:4178/case-study-knight-logics","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-knight-logics","","Non-Indexable","Canonicalised"
"http://localhost:4178/images/KnightGroup-HomeImage.webp","0","","","","","","Indexable",""
"http://localhost:4178/images/JNS-HomeImage.webp","0","","","","","","Indexable",""
"http://localhost:4178/images/linkedin-icon.webp","0","","","","","","Indexable",""
"http://localhost:4178/service-ai-automation","0","","","","https://knightlogics.com/service-ai-automation","","Non-Indexable","Canonicalised"
"http://localhost:4178/service-desktop-apps","0","","","","https://knightlogics.com/service-desktop-apps","","Non-Indexable","Canonicalised"
