"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"http://localhost:4178/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Custom websites, local SEO & Google Business optimization for Tampa Bay small businesses. Hand-coded sites that rank, convert, and support real operations — built by Knight Logics.","180","1133","custom website design Tampa Bay, local SEO services Tampa, Google Business Profile optimization Tampa, small business web design Florida, website designer Tampa Bay, SEO services Tampa Bay, affordable web design Pinellas County, lead generation website Tampa, business automation Tampa, workflow automation small business, hand-coded website, custom software development Tampa Bay, Knight Logics, Nicholas Knight","412","Knight Logics Custom Websites & Local SEO","41","Talk Through Your Project","25","Tampa Bay Websites Built to Get Found","37","","","","https://knightlogics.com/","","","","","","195248","36227","36227","13.878","","2464","456","5.404","61.060","Normal","9.063","0","0","","25","18","0","42.860","23","17","0","14","14","0","","","","","adebe618b7ce90d5fb2c7228e8ad3f51","0.003","","","","","en","1.1","","","","","","http://localhost:4178/","2026-05-11 23:42:17"
"http://localhost:4178/images/youtube-icon.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","884","884","884","0.339","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.009","","","","","","1.1","","","","","","http://localhost:4178/images/youtube-icon.webp","2026-05-11 23:42:19"
"http://localhost:4178/images/Display-Control-Plus-Logo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","32690","32690","32690","12.523","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.008","","","","","","1.1","","","","","","http://localhost:4178/images/Display-Control-Plus-Logo.webp","2026-05-11 23:42:19"
"http://localhost:4178/images/B-Magic's%20Auto%20Vid%20Compiler.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1561354","1561354","1561354","598.125","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.005","","","","","","1.1","","","","","","http://localhost:4178/images/B-Magic's%20Auto%20Vid%20Compiler.png","2026-05-11 23:42:19"
"http://localhost:4178/images/B-Magic's%20Auto%20Vid%20Compiler.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","131080","131080","131080","50.214","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.001","","","","","","1.1","","","","","","http://localhost:4178/images/B-Magic's%20Auto%20Vid%20Compiler.webp","2026-05-11 23:42:19"
"http://localhost:4178/script.min.js?v=20260512a","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.004","","","","","","1.1","","","","","","http://localhost:4178/script.min.js?v=20260512a","2026-05-11 23:42:19"
"http://localhost:4178/images/KnightLogics-HomeImage.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","26944","26944","26944","10.322","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.003","","","","","","1.1","","","","","","http://localhost:4178/images/KnightLogics-HomeImage.webp","2026-05-11 23:42:19"
"http://localhost:4178/service-ecommerce","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","E-Commerce Development — Tampa Bay Shopify, Firebase & Stripe | Knight Logics","77","734","Custom e-commerce development for Tampa Bay businesses. Shopify alternatives, Firebase + Stripe storefronts, and data systems built to your spec — no platform lock-in, no monthly fees.","184","1158","Shopify development Tampa Bay, e-commerce website developer Florida, Firebase e-commerce, Stripe integration, Snipcart, checkout optimization, inventory automation, e-commerce data systems, online store development, Knight Logics","229","E-Commerce & Data Systems","25","What's Included","15","The Technology Stack","20","","","","https://knightlogics.com/service-ecommerce","","","","","","49258","10752","10752","4.119","","1388","223","6.224","44.178","Hard","19.911","1","0","","24","24","0","57.140","5","4","0","0","0","0","","","","","cb8daa5c818d1cbf89c09a1399ef9b15","0.003","","","","","en","1.1","","","","","","http://localhost:4178/service-ecommerce","2026-05-11 23:42:19"
"http://localhost:4178/videoforge","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","VideoForge Studio | Knight Logics","33","300","VideoForge Studio by Knight Logics: Windows-first local video production app for ranked videos with FFmpeg rendering, overlays, optional narration, and export-ready output.","172","1071","VideoForge Studio, ranked video generator, local rendering app, FFmpeg workflow, Shorts automation, Knight Logics","113","VideoForge Studio","17","Upload, sequence, render, export.","33","Official Demo Video Coming Soon","31","","","","https://knightlogics.com/videoforge","","","","","","20138","4730","4730","1.812","","585","101","5.792","42.313","Hard","21.023","1","0","","27","27","0","64.290","5","2","0","5","3","0","","","","","94c812cb1c8e4c5b820c2672469a6fa1","0.002","","","","","en","1.1","","","","","","http://localhost:4178/videoforge","2026-05-11 23:42:19"
"http://localhost:4178/images/videoforge-app-icon.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","50582","50582","50582","19.377","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.002","","","","","","1.1","","","","","","http://localhost:4178/images/videoforge-app-icon.webp","2026-05-11 23:42:19"
