"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://knightlogics.com/videoforge","0","","","","https://knightlogics.com/videoforge","","Indexable",""
"https://knightlogics.com/service-ecommerce.html","0","","","","https://knightlogics.com/service-ecommerce","","Non-Indexable","Canonicalised"
"https://knightlogics.com/service-websites","0","","","","https://knightlogics.com/service-websites","","Indexable",""
"https://knightlogics.com/service-websites.html","0","","","","https://knightlogics.com/service-websites","","Non-Indexable","Canonicalised"
"https://knightlogics.com/videoforge.html","0","","","","https://knightlogics.com/videoforge","","Non-Indexable","Canonicalised"
"https://knightlogics.com/service-ecommerce","0","","","","https://knightlogics.com/service-ecommerce","","Indexable",""
"https://knightlogics.com/service-desktop-apps.html","0","","","","https://knightlogics.com/service-desktop-apps","","Non-Indexable","Canonicalised"
"https://knightlogics.com/service-desktop-apps","0","","","","https://knightlogics.com/service-desktop-apps","","Indexable",""
"https://knightlogics.com/service-ai-automation.html","0","","","","https://knightlogics.com/service-ai-automation","","Non-Indexable","Canonicalised"
"https://knightlogics.com/service-ai-automation","0","","","","https://knightlogics.com/service-ai-automation","","Indexable",""
"https://knightlogics.com/pixelforge-ai","0","","","","https://knightlogics.com/pixelforge-ai","","Indexable",""
"https://knightlogics.com/pixelforge-ai.html","0","","","","https://knightlogics.com/pixelforge-ai","","Non-Indexable","Canonicalised"
"https://knightlogics.com/pricing/index.html","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/pricing","","Non-Indexable","Canonicalised"
"https://knightlogics.com/pricing.html","1","noindex,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","0; url=https://knightlogics.com/pricing","https://knightlogics.com/pricing","","Non-Indexable","Redirected"
"https://knightlogics.com/pricing","1","noindex,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","0; url=https://knightlogics.com/pricing","https://knightlogics.com/pricing","","Non-Indexable","noindex"
"https://knightlogics.com/display-control-plus.html","0","","","","https://knightlogics.com/display-control-plus","","Non-Indexable","Canonicalised"
"https://knightlogics.com/display-control-plus","0","","","","https://knightlogics.com/display-control-plus","","Indexable",""
"https://knightlogics.com/contact.html","0","","","","https://knightlogics.com/contact","","Non-Indexable","Canonicalised"
"https://knightlogics.com/contact","0","","","","https://knightlogics.com/contact","","Indexable",""
"https://knightlogics.com/case-study-screen-team.html","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-screen-team","","Non-Indexable","Canonicalised"
"https://knightlogics.com/case-study-screen-team","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-screen-team","","Indexable",""
"https://knightlogics.com/case-study-knight-logics.html","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-knight-logics","","Non-Indexable","Canonicalised"
"https://knightlogics.com/case-study-knight-logics","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-knight-logics","","Indexable",""
"https://knightlogics.com/case-study-knight-group.html","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-knight-group","","Non-Indexable","Canonicalised"
"https://knightlogics.com/case-study-knight-group","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-knight-group","","Indexable",""
"https://knightlogics.com/case-study-jns.html","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-jns","","Non-Indexable","Canonicalised"
"https://knightlogics.com/case-study-jns","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-jns","","Indexable",""
"https://knightlogics.com/book-consultation.html","0","","","","https://knightlogics.com/book-consultation","","Non-Indexable","Canonicalised"
"https://knightlogics.com/book-consultation","0","","","","https://knightlogics.com/book-consultation","","Indexable",""
"https://knightlogics.com/auto-vid-compiler.html","0","","","","https://knightlogics.com/auto-vid-compiler","","Non-Indexable","Canonicalised"
"https://knightlogics.com/auto-vid-compiler","0","","","","https://knightlogics.com/auto-vid-compiler","","Indexable",""
"https://knightlogics.com/","0","","","","https://knightlogics.com/","","Indexable",""
