"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://knightlogics.com/videoforge","text/html; charset=utf-8","200","OK","Indexable","","7","0.080","",""
"https://knightlogics.com/service-ecommerce.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.083","",""
"https://knightlogics.com/service-websites","text/html; charset=utf-8","200","OK","Indexable","","30","0.087","",""
"https://knightlogics.com/service-websites.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","1","0.055","",""
"https://knightlogics.com/videoforge.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.087","",""
"https://knightlogics.com/service-ecommerce","text/html; charset=utf-8","200","OK","Indexable","","1","0.050","",""
"https://knightlogics.com/service-desktop-apps.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.054","",""
"https://knightlogics.com/service-desktop-apps","text/html; charset=utf-8","200","OK","Indexable","","27","0.048","",""
"https://knightlogics.com/service-ai-automation.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.055","",""
"https://knightlogics.com/service-ai-automation","text/html; charset=utf-8","200","OK","Indexable","","3","0.048","",""
"https://knightlogics.com/pixelforge-ai","text/html; charset=utf-8","200","OK","Indexable","","5","0.048","",""
"https://knightlogics.com/pixelforge-ai.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.064","",""
"https://knightlogics.com/pricing/index.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","6","0.062","",""
"https://knightlogics.com/pricing.html","text/html; charset=utf-8","200","OK","Non-Indexable","Redirected","6","0.051","https://knightlogics.com/pricing","Meta Refresh Redirect"
"https://knightlogics.com/pricing","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","14","0.046","https://knightlogics.com/pricing","Meta Refresh Redirect"
"https://knightlogics.com/display-control-plus.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.052","",""
"https://knightlogics.com/display-control-plus","text/html; charset=utf-8","200","OK","Indexable","","6","0.055","",""
"https://knightlogics.com/contact.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","1","0.057","",""
"https://knightlogics.com/contact","text/html; charset=utf-8","200","OK","Indexable","","58","0.059","",""
"https://knightlogics.com/case-study-screen-team.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.046","",""
"https://knightlogics.com/case-study-screen-team","text/html; charset=utf-8","200","OK","Indexable","","3","0.047","",""
"https://knightlogics.com/case-study-knight-logics.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.051","",""
"https://knightlogics.com/case-study-knight-logics","text/html; charset=utf-8","200","OK","Indexable","","0","0.047","",""
"https://knightlogics.com/case-study-knight-group.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.050","",""
"https://knightlogics.com/case-study-knight-group","text/html; charset=utf-8","200","OK","Indexable","","3","0.049","",""
"https://knightlogics.com/case-study-jns.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.053","",""
"https://knightlogics.com/case-study-jns","text/html; charset=utf-8","200","OK","Indexable","","3","0.045","",""
"https://knightlogics.com/book-consultation.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","1","0.051","",""
"https://knightlogics.com/book-consultation","text/html; charset=utf-8","200","OK","Indexable","","7","0.049","",""
"https://knightlogics.com/auto-vid-compiler.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","0","0.049","",""
"https://knightlogics.com/auto-vid-compiler","text/html; charset=utf-8","200","OK","Indexable","","2","0.046","",""
"https://knightlogics.com/","text/html; charset=utf-8","200","OK","Indexable","","42","0.056","",""
