"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://knightlogics.com/videoforge","1","Indexable","","https://knightlogics.com/videoforge","","","","","","",""
"https://knightlogics.com/service-websites","1","Indexable","","https://knightlogics.com/service-websites","","","","","","",""
"https://knightlogics.com/service-websites.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/service-websites","","","","","","",""
"https://knightlogics.com/service-ecommerce.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/service-ecommerce","","","","","","",""
"https://knightlogics.com/videoforge.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/videoforge","","","","","","",""
"https://knightlogics.com/service-ecommerce","1","Indexable","","https://knightlogics.com/service-ecommerce","","","","","","",""
"https://knightlogics.com/service-desktop-apps.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/service-desktop-apps","","","","","","",""
"https://knightlogics.com/service-desktop-apps","1","Indexable","","https://knightlogics.com/service-desktop-apps","","","","","","",""
"https://knightlogics.com/service-ai-automation.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/service-ai-automation","","","","","","",""
"https://knightlogics.com/service-ai-automation","1","Indexable","","https://knightlogics.com/service-ai-automation","","","","","","",""
"https://knightlogics.com/pixelforge-ai.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/pixelforge-ai","","","","","","",""
"https://knightlogics.com/pixelforge-ai","1","Indexable","","https://knightlogics.com/pixelforge-ai","","","","","","",""
"https://knightlogics.com/pricing/index.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/pricing","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/pricing.html","1","Non-Indexable","Redirected","https://knightlogics.com/pricing","","noindex,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/pricing","1","Non-Indexable","noindex","https://knightlogics.com/pricing","","noindex,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/display-control-plus.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/display-control-plus","","","","","","",""
"https://knightlogics.com/display-control-plus","1","Indexable","","https://knightlogics.com/display-control-plus","","","","","","",""
"https://knightlogics.com/contact.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/contact","","","","","","",""
"https://knightlogics.com/contact","1","Indexable","","https://knightlogics.com/contact","","","","","","",""
"https://knightlogics.com/case-study-screen-team.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-screen-team","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/case-study-screen-team","1","Indexable","","https://knightlogics.com/case-study-screen-team","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/case-study-knight-logics.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-knight-logics","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/case-study-knight-logics","1","Indexable","","https://knightlogics.com/case-study-knight-logics","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/case-study-knight-group.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-knight-group","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/case-study-knight-group","1","Indexable","","https://knightlogics.com/case-study-knight-group","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/case-study-jns.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/case-study-jns","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/case-study-jns","1","Indexable","","https://knightlogics.com/case-study-jns","","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","","",""
"https://knightlogics.com/book-consultation.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/book-consultation","","","","","","",""
"https://knightlogics.com/book-consultation","1","Indexable","","https://knightlogics.com/book-consultation","","","","","","",""
"https://knightlogics.com/auto-vid-compiler.html","1","Non-Indexable","Canonicalised","https://knightlogics.com/auto-vid-compiler","","","","","","",""
"https://knightlogics.com/auto-vid-compiler","1","Indexable","","https://knightlogics.com/auto-vid-compiler","","","","","","",""
"https://knightlogics.com/","1","Indexable","","https://knightlogics.com/","","","","","","",""
